sarea (district),sna (station name),ar (address),tot (number of parking space),lng,lat
新店區,大鵬華城,新北市新店區中正路700巷3號,38,121.5339813,24.99115944
汐止區,汐止火車站,南昌街/新昌路口(西側廣場),56,121.6627502,25.06891441
汐止區,汐止區公所,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場),46,121.6583023,25.0641613
汐止區,國泰綜合醫院,建成路78號對面停車場,40,121.6625519,25.07315063
新店區,裕隆公園,寶中路/品牌路口(東南側),40,121.5463181,24.97964859
新店區,捷運大坪林站,寶安街/寶安街58巷(西北側),32,121.5417175,24.98397636
汐止區,汐科火車站(北),大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前),34,121.6530228,25.06410599
三重區,興華公園,重陽路一段120巷/中華路2巷,40,121.4831009,25.06012535
三重區,三重國民運動中心,集美街/重新路四段184巷,68,121.4884872,25.05439186
三重區,捷運三重站3號出口,捷運路/捷運路37巷,34,121.4847412,25.05588341
汐止區,樟樹國小,樟樹二路/樟樹一路141巷,48,121.6403656,25.06668854
汐止區,白雲國小,民權街二段90號,46,121.6188889,25.04757881
